Date,Day,WeekNr,Month,DateKey,MonthShort,MonthNo,Quarter,Year
1/1/2019,Tuesday,1,January,20190101,Jan,1,1,2019
1/2/2019,Wednesday,1,January,20190102,Jan,1,1,2019
1/3/2019,Thursday,1,January,20190103,Jan,1,1,2019
1/4/2019,Friday,1,January,20190104,Jan,1,1,2019
1/5/2019,Saturday,1,January,20190105,Jan,1,1,2019
1/6/2019,Sunday,2,January,20190106,Jan,1,1,2019
1/7/2019,Monday,2,January,20190107,Jan,1,1,2019
1/8/2019,Tuesday,2,January,20190108,Jan,1,1,2019
1/9/2019,Wednesday,2,January,20190109,Jan,1,1,2019
1/10/2019,Thursday,2,January,20190110,Jan,1,1,2019
1/11/2019,Friday,2,January,20190111,Jan,1,1,2019
1/12/2019,Saturday,2,January,20190112,Jan,1,1,2019
1/13/2019,Sunday,3,January,20190113,Jan,1,1,2019
1/14/2019,Monday,3,January,20190114,Jan,1,1,2019
1/15/2019,Tuesday,3,January,20190115,Jan,1,1,2019
1/16/2019,Wednesday,3,January,20190116,Jan,1,1,2019
1/17/2019,Thursday,3,January,20190117,Jan,1,1,2019
1/18/2019,Friday,3,January,20190118,Jan,1,1,2019
1/19/2019,Saturday,3,January,20190119,Jan,1,1,2019
1/20/2019,Sunday,4,January,20190120,Jan,1,1,2019
1/21/2019,Monday,4,January,20190121,Jan,1,1,2019
1/22/2019,Tuesday,4,January,20190122,Jan,1,1,2019
1/23/2019,Wednesday,4,January,20190123,Jan,1,1,2019
1/24/2019,Thursday,4,January,20190124,Jan,1,1,2019
1/25/2019,Friday,4,January,20190125,Jan,1,1,2019
1/26/2019,Saturday,4,January,20190126,Jan,1,1,2019
1/27/2019,Sunday,5,January,20190127,Jan,1,1,2019
1/28/2019,Monday,5,January,20190128,Jan,1,1,2019
1/29/2019,Tuesday,5,January,20190129,Jan,1,1,2019
1/30/2019,Wednesday,5,January,20190130,Jan,1,1,2019
1/31/2019,Thursday,5,January,20190131,Jan,1,1,2019
2/1/2019,Friday,5,February,20190201,Feb,2,1,2019
2/2/2019,Saturday,5,February,20190202,Feb,2,1,2019
2/3/2019,Sunday,6,February,20190203,Feb,2,1,2019
2/4/2019,Monday,6,February,20190204,Feb,2,1,2019
2/5/2019,Tuesday,6,February,20190205,Feb,2,1,2019
2/6/2019,Wednesday,6,February,20190206,Feb,2,1,2019
2/7/2019,Thursday,6,February,20190207,Feb,2,1,2019
2/8/2019,Friday,6,February,20190208,Feb,2,1,2019
2/9/2019,Saturday,6,February,20190209,Feb,2,1,2019
2/10/2019,Sunday,7,February,20190210,Feb,2,1,2019
2/11/2019,Monday,7,February,20190211,Feb,2,1,2019
2/12/2019,Tuesday,7,February,20190212,Feb,2,1,2019
2/13/2019,Wednesday,7,February,20190213,Feb,2,1,2019
2/14/2019,Thursday,7,February,20190214,Feb,2,1,2019
2/15/2019,Friday,7,February,20190215,Feb,2,1,2019
2/16/2019,Saturday,7,February,20190216,Feb,2,1,2019
2/17/2019,Sunday,8,February,20190217,Feb,2,1,2019
2/18/2019,Monday,8,February,20190218,Feb,2,1,2019
2/19/2019,Tuesday,8,February,20190219,Feb,2,1,2019
2/20/2019,Wednesday,8,February,20190220,Feb,2,1,2019
2/21/2019,Thursday,8,February,20190221,Feb,2,1,2019
2/22/2019,Friday,8,February,20190222,Feb,2,1,2019
2/23/2019,Saturday,8,February,20190223,Feb,2,1,2019
2/24/2019,Sunday,9,February,20190224,Feb,2,1,2019
2/25/2019,Monday,9,February,20190225,Feb,2,1,2019
2/26/2019,Tuesday,9,February,20190226,Feb,2,1,2019
2/27/2019,Wednesday,9,February,20190227,Feb,2,1,2019
2/28/2019,Thursday,9,February,20190228,Feb,2,1,2019
3/1/2019,Friday,9,March,20190301,Mar,3,1,2019
